Drawer #,Slot #,Size,Empty?,,
011-38,3,10x,,,
011-38,4,10x,,,
011-38,5,10x,,,
011-38,6,10x,,,
011-38,7,10x,,,
011-38,8,10x,,,
011-38,9,10x,,,
011-38,10,10x,,,
012-06,1,8x,,,
012-06,2,8x,,,
012-06,3,8x,,,
012-06,4,8x,,,
012-06,5,8x,,,
012-06,6,8x,,,
012-06,7,8x,,,
012-06,8,8x,,,
012-09,1,6,,,
012-09,2,10,,,
012-12,1,6,,,
012-12,2,10,,,
012-16,1,10x,,,
012-16,2,10x,,,
012-16,3,10x,,,
012-16,4,10x,,,
012-16,5,10x,,,
012-16,6,10x,,,
012-16,7,10x,,,
012-16,8,10x,,,
012-16,9,10x,,,
012-16,10,10x,,,
012-18,2,1,,,
012-26,1,8x,,,
012-26,2,8x,,,
012-26,3,8x,,,
012-26,4,8x,,,
012-26,5,8x,,,
012-26,6,8x,,,
012-26,7,8x,,,
012-26,8,8x,,,
012-27,1,10,,,
012-27,2,6,,,
012-32,1,10,,,
012-32,2,6,,,
012-36,1,6,,,
012-36,2,10,,,
012-37,1,10,,,
012-37,2,6,,,
012-39,1,6,,,
012-39,2,10,,,
012-40,1,10x,,,
012-40,2,10x,,,
012-40,3,10x,,,
012-40,4,10x,,,
012-40,5,10x,,,
012-40,6,10x,,,
012-40,7,10x,,,
012-40,8,10x,,,
012-40,9,10x,,,
012-40,10,10x,,,
012-43,1,6,,,
012-43,2,10,,,
012-49,1,12,,,
012-49,2,4,,,
012-53,1,8,,,
012-53,2,8,,,
012-55,1,10x,,,
012-55,2,10x,,,
012-55,3,10x,,,
012-55,4,10x,,,
012-55,5,10x,,,
012-55,6,10x,,,
012-55,7,10x,,,
012-55,8,10x,,,
012-55,9,10x,,,
012-55,10,10x,,,
012-56,1,12,,,
012-56,2,4,,,
012-58,1,10x,,,
012-58,2,10x,,,
012-58,3,10x,,,
012-58,4,10x,,,
012-58,5,10x,,,
012-58,6,10x,,,
012-58,7,10x,,,
012-58,8,10x,,,
012-58,9,10x,,,
012-58,10,10x,,,
013-07,1,6,,,
013-07,2,10,,,
013-09,1,12w,,,
013-09,2,4w,,,
013-10,1,10x,,,
013-10,2,10x,,,
013-10,3,10x,,,
013-10,4,10x,,,
013-10,5,10x,,,
013-10,6,10x,,,
013-10,7,10x,,,
013-10,8,10x,,,
013-10,9,10x,,,
013-10,10,10x,,,
013-12,1,16,,,
013-23,1,16,,,
013-25,1,8,,,
013-25,2,8,,,
013-35,1,12,,,
013-41,1,8x,,,
013-41,2,8x,,,
013-41,3,8x,,,
013-41,4,8x,,,
013-41,5,8x,,,
013-41,6,8x,,,
013-41,7,8x,,,
013-41,8,8x,,,
013-41,3,8x,,,
013-43,1,6,,,
013-43,2,10,,,
013-46,1,10,,,
013-46,2,6,,,
014-06,1,6,,,
014-06,2,10,,,
014-24,1,12,,,
014-24,2,4,,,
014-27,1,8,,,
014-27,2,8,,,
014-41,1,12,,,
014-41,2,4,,,
015-07,1,6x,,,
015-07,2,6x,,,
015-07,3,6x,,,
015-07,4,6x,,,
015-07,5,6x,,,
015-07,6,6x,,,
015-21,1,10,,,
015-21,2,6,,,
015-29,1,6,,,
015-29,2,10,,,
015-33,1,8w,,,
015-33,2,8w,,,
015-37,1,8w,,,
015-37,2,8w,,,
015-39,1,4,,,
015-39,2,12,,,
015-41,1,2,,,
015-41,2,14,,,
015-47,1,12w,,,
015-47,2,4w,,,
016-02,1,2,,,
016-02,2,14,,,
016-46,1,12,,,
016-46,2,4,,,
016-49,1,4,,,
016-49,2,12,,,
016-52,1,11,,,
016-52,2,5,,,
017-02,1,10x,,,
017-02,2,10x,,,
017-02,3,10x,,,
017-02,4,10x,,,
017-02,5,10x,,,
017-02,6,10x,,,
017-02,7,10x,,,
017-02,8,10x,,,
017-02,9,10x,,,
017-02,10,10x,,,
017-07,1,10,,,
017-07,1,6,,,
017-21,1,12,,,
017-21,2,4,,,
017-32,1,12,y,,
017-32,2,4,,,
017-34,1,12,,,
017-34,2,4,,,
018-03,1,8x,,,
018-03,2,8x,,,
018-03,3,8x,,,
018-03,4,8x,,,
018-03,5,8x,,,
018-03,6,8x,,,
018-03,7,8x,,,
018-03,8,8x,,,
018-12,1,6,,,
018-12,2,10,,,
018-16,1,4x,,,
018-16,2,4x,,,
018-16,3,4x,,,
018-16,4,4x,,,
018-36,1,16,,,
018-55,1,6,,,
018-55,2,10,,,
019-06,1,10x,,,
019-06,2,10x,,,
019-06,3,10x,,,
019-06,4,10x,,,
019-06,5,10x,,,
019-06,6,10x,,,
019-06,7,10x,,,
019-06,8,10x,,,
019-06,9,10x,,,
019-06,10,10x,,,
019-25,1,5,,,
019-25,2,11,,,
019-26,1,11,,,
019-26,2,5,,,
019-34,1,5,,,
019-34,2,11,,,
019-39,1,12,,,
019-39,2,4,,,
019-40,1,12,,,
019-40,2,4,,,
019-41,1,8,,,
019-41,2,8,,,
019-46,1,6,,,
019-46,2,10,,,
019-47,1,12,,,
019-47,2,4,,,
019-49,1,8,,,
019-49,2,8,,,
019-55,1,7,,,
019-55,2,7,,,
019-55,3,2,,,
020-05,1,6,,,
020-05,2,10,,,
020-08,1,8,,,
020-08,2,8,,,
020-10,1,8,,,
020-10,2,8,,,
020-11,1,10x,,,
020-11,2,10x,,,
020-11,3,10x,,,
020-11,4,10x,,,
020-11,5,10x,,,
020-11,6,10x,,,
020-11,7,10x,,,
020-11,8,10x,,,
020-11,9,10x,,,
020-11,10,10x,,,
020-12,1,12,,,
020-12,2,4,,,
020-15,1,6,,,
020-15,2,10,,,
020-42,1,12,,,
020-42,2,4,,,
020-57,1,12,,,
020-57,2,4,,,
020-60,1,8,,,
020-60,2,8,,,
021-03,1,12,,,
021-03,2,4,,,
021-08,1,12,,,
021-08,2,4,,,
021-29,1,8x,,,
021-29,2,8x,,,
021-29,3,8x,,,
021-29,4,8x,,,
021-29,5,8x,,,
021-29,6,8x,,,
021-29,7,8x,,,
021-29,8,8x,,,
021-31,1,10x,,,
021-31,2,10x,,,
021-31,3,10x,,,
021-31,4,10x,,,
021-31,5,10x,,,
021-31,6,10x,,,
021-31,7,10x,,,
021-31,8,10x,,,
021-31,9,10x,,,
021-31,10,10x,,,
021-45,1,12,,,
021-45,1,8,,,
021-45,2,4,,,
021-45,2,8,,,
021-50,1,10x,,,
021-50,2,10x,,,
021-50,3,10x,,,
021-50,4,10x,,,
021-50,5,10x,,,
021-50,6,10x,,,
021-50,7,10x,,,
021-50,8,10x,,,
021-50,9,10x,,,
021-50,10,10x,,,
021-51,1,8x,,,
021-51,2,8x,,,
021-51,3,8x,,,
021-51,4,8x,,,
021-51,5,8x,,,
021-51,6,8x,,,
021-51,7,8x,,,
021-51,8,8x,,,
022-05,1,10x,,,
022-05,2,10x,,,
022-05,3,10x,,,
022-05,4,10x,,,
022-05,5,10x,,,
022-05,6,10x,,,
022-05,7,10x,,,
022-05,8,10x,,,
022-05,9,10x,,,
022-05,10,10x,,,
022-17,1,12,,,
022-17,2,4,,,
022-19,1,12,,,
022-19,2,4,,,
022-30,1,12,,,
022-30,2,4,,,
022-33,1,8,y,,
022-33,2,8,,,
022-34,1,16,,,
022-43,1,4x,,,
022-43,2,4x,,,
022-43,3,4x,,,
022-43,4,4x,,,
022-51,1,10x,,,
022-51,2,10x,,,
022-51,3,10x,,,
022-51,4,10x,,,
022-51,5,10x,,,
022-51,6,10x,,,
022-51,7,10x,,,
022-51,8,10x,,,
022-51,9,10x,,,
022-51,10,10x,,,
022-55,1,12,,,
022-55,2,4,,,
022-57,1,12,,,
022-57,2,4,,,
023-01,1,7,,,
023-01,2,7,,,
023-01,3,2,,,
023-09,1,4,,,
023-09,2,12,,,
023-13,1,12,,,
023-13,2,4,,,
023-18,1,15,,,
023-34,1,12,,,
023-34,2,4,,,
023-50,1,10,,,
023-50,2,6,,,
023-56,1,4,,,
023-56,2,12,,,
023-58,1,4,,,
023-58,2,12,,,
024-09,1,8x,,,
024-09,2,8x,,,
024-09,3,8x,,,
024-09,4,8x,,,
024-09,5,8x,,,
024-09,6,8x,,,
024-09,7,8x,,,
024-09,8,8x,,,
024-23,1,8,,,
024-23,2,8,,,
,2,4,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
